Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
1994;01-01-1994;Blank column for your personal use;;~Wikipedia data pre-95 is all lists - consider doing 94 and 93 (Startish of Sony/N64/MegaDrive era)?;;
1995;01-01-1995;;;;;
jan;01-01-1995;;Battle Arena Toshinden;PS1;;
jan;13-01-1995;;Bust-a-Move;SNES;;
feb;15-02-1995;;Star Wars: Dark Forces;DOS;;
feb;16-02-1995;;Ristar;SMD;;
feb;24-02-1995;;Front Mission;SNES;;
mar;10-03-1995;;Panzer Dragoon;Sat;;
mar;11-03-1995;;Chrono Trigger;SNES;;
mar;14-03-1995;;Mario's Picross;GB;;
mar;17-03-1995;;Descent;DOS;;
mar;21-03-1995;;Kirby's Dream Land 2;GB;;
mar;24-03-1995;;Mega Man 7;SNES;;
apr;15-04-1995;;Mortal Kombat 3;Arcade;;
apr;27-04-1995;;Jumping Flash!;PS1;;
apr;28-04-1995;;Super Bomberman 3;SNES;;
apr;30-04-1995;;Full Throttle;DOS, Win, Mac;;
maj;01-05-1995;;King Arthur & the Knights of Justice;SNES;;
maj;25-05-1995;;Light Crusader;SMD;;
jun;05-06-1995;;EarthBound;SNES;;
jun;05-06-1995;;Street Fighter Alpha;Arcade;;
jun;07-06-1995;;Flight Unlimited;DOS, Win95;;
jul;21-07-1995;;Castlevania: Dracula X;SNES;;
jul;24-07-1995;;MechWarrior 2;DOS;;
jul;25-07-1995;;The King of Fighters '95;Arcade;;
jul;31-07-1995;;Phantasmagoria;DOS, Win95, Mac, Sat (1997);;
aug;01-08-1995;;Comix Zone;SMD;;
aug;01-08-1995;;Tekken 2;Arcade;;
aug;05-08-1995;;Super Mario World 2: Yoshi's Island;SNES;;
aug;31-08-1995;;Command & Conquer;DOS, Mac;;
aug;31-08-1995;;Heroes of Might and Magic: A Strategic Quest;DOS;;
sep;01-09-1995;;Rayman;PS1, Sat, Jag;;
okt;01-10-1995;;Secret of Evermore;SNES;;
okt;01-10-1995;;Time Crisis;Arcade;;
okt;06-10-1995;;Tactics Ogre: Let Us Cling Together;SNES;;
okt;20-10-1995;;Terranigma;SNES;;
okt;27-10-1995;;Panel de Pon;SNES;;
okt;31-10-1995;;Destruction Derby;PS1;;
okt;31-10-1995;;I Have No Mouth, and I Must Scream;DOS, Mac;;
okt;31-10-1995;;Star Wars: TIE Fighter (Collector's CD-ROM);Win, Mac;;
nov;05-11-1995;;Twisted Metal;PS1;;
nov;20-11-1995;;Donkey Kong Country 2: Diddy's Kong Quest;SNES;;
nov;24-11-1995;;Battle Arena Toshinden 2;PS1, Arcade;;
nov;24-11-1995;;Marathon 2: Durandal;Mac;;
nov;30-11-1995;;The Dig;DOS, Mac;;
dec;01-12-1995;;Worms;Ami;;
dec;01-12-1995;;Phantasy Star IV: The End of the Millennium;SMD;;
